0,-2.74637,-1.90066,36.3096,1.34912,0.727851,-35.6579,-0.160461,-2.99746,1.78526,0.328028,-2.09846,1.04351
0.01,-2.54078,-1.85951,36.4648,1.53398,0.743396,-35.8419,1.55159,-1.17779,2.25625,0.443898,-2.04872,1.18142
0.02,-2.28091,-1.68302,36.5934,1.81101,0.846032,-35.9535,3.54742,0.91539,2.67041,0.103394,-2.17521,0.884423
0.03,-1.98041,-1.3532,36.619,2.1594,1.07347,-35.9069,5.4078,2.84446,2.98612,-0.861854,-2.43068,0.0117417
0.04,-1.65997,-0.859014,36.5442,2.54312,1.45915,-35.7161,6.89139,4.37814,3.12715,-2.2997,-2.71457,-1.30868
0.05,-1.34774,-0.215426,36.4515,2.9159,1.99897,-35.4947,8.10129,5.66435,2.97348,-3.69934,-2.92706,-2.63431
0.06,-1.06563,0.518798,36.4595,3.23785,2.62388,-35.3963,9.41706,7.11202,2.40712,-4.51385,-3.05426,-3.51122
0.07,-0.802792,1.23669,36.6483,3.50098,3.20747,-35.5056,11.1466,8.98288,1.40755,-4.48959,-3.23053,-3.75226
0.08,-0.513394,1.8029,36.9749,3.7363,3.61006,-35.7393,13.2486,11.1385,0.0919607,-3.76406,-3.68095,-3.46961
0.09,-0.146724,2.08325,37.256,3.99127,3.73862,-35.8718,15.4021,13.1927,-1.31728,-2.68772,-4.49318,-2.89356
0.1,0.318655,1.98937,37.2574,4.30253,3.58649,-35.676,17.2533,14.8127,-2.5776,-1.54406,-5.52403,-2.16872
0.11,0.864079,1.53325,36.817,4.68703,3.22471,-35.0381,18.568,15.8589,-3.54134,-0.464781,-6.53928,-1.35115
0.12,1.44413,0.83424,35.909,5.14009,2.75572,-33.9843,19.2678,16.3636,-4.19008,0.509492,-7.37091,-0.488438
0.13,2.00308,0.0565703,34.6304,5.63045,2.26096,-32.6418,19.4164,16.4584,-4.57681,1.381,-7.95761,0.370821
0.14,2.48561,-0.676921,33.15,6.10317,1.77176,-31.1844,19.1664,16.2985,-4.7703,2.16685,-8.31221,1.19275
0.15,2.84313,-1.33594,31.6463,6.49336,1.27099,-29.7752,18.6891,16.0055,-4.82807,2.88038,-8.4746,1.95701
0.16,3.03831,-1.96981,30.25,6.74493,0.71974,-28.5113,18.1193,15.6408,-4.78922,3.52628,-8.4827,2.65174
0.17,3.05509,-2.64856,29.0089,6.82773,0.0893162,-27.3992,17.526,15.2124,-4.67917,4.10494,-8.36858,3.27129
0.18,2.90918,-3.41455,27.8917,6.74472,-0.620022,-26.3786,16.9161,14.7015,-4.5203,4.61587,-8.1652,3.81365
0.19,2.6464,-4.27146,26.8288,6.52825,-1.37993,-25.3746,16.266,14.0942,-4.33559,5.05817,-7.90704,4.27897
0.2,2.32797,-5.19198,25.7557,6.22808,-2.14471,-24.3346,15.5572,13.3971,-4.14598,5.43294,-7.62245,4.67039
0.21,2.00911,-6.1339,24.6331,5.89452,-2.86914,-23.235,14.7916,12.632,-3.96717,5.74727,-7.32691,4.99339
0.22,1.72392,-7.05704,23.4454,5.56427,-3.52563,-22.0697,13.9844,11.8227,-3.80896,6.0144,-7.02389,5.2546
0.23,1.48483,-7.93793,22.191,5.25749,-4.11641,-20.8385,13.1508,10.9879,-3.67318,6.24947,-6.71125,5.46185
0.24,1.29082,-8.77911,20.8745,4.98369,-4.66889,-19.5422,12.2986,10.138,-3.54747,6.46493,-6.38582,5.62366
0.25,1.13746,-9.6021,19.5043,4.74677,-5.22507,-18.1878,11.4298,9.28038,-3.40439,6.66961,-6.0467,5.7479
0.26,1.02313,-10.4286,18.0935,4.54364,-5.8183,-16.792,10.5451,8.42422,-3.2178,6.8672,-5.69601,5.84121
0.27,0.945727,-11.2622,16.6618,4.36187,-6.45613,-15.3796,9.6503,7.58189,-2.98282,7.05553,-5.3388,5.91152
0.28,0.897459,-12.0806,15.236,4.18391,-7.12093,-13.9795,8.75824,6.7664,-2.72071,7.22999,-4.98193,5.96972
0.29,0.865013,-12.8438,13.8463,3.99448,-7.77448,-12.6176,7.88633,5.98796,-2.46781,7.38586,-4.6312,6.02673
0.3,0.832101,-13.5103,12.5196,3.78549,-8.36863,-11.3142,7.0511,5.25352,-2.25923,7.51667,-4.28699,6.08916
0.31,0.78584,-14.0533,11.2747,3.55487,-8.86117,-10.0866,6.26553,4.56777,-2.10808,7.61929,-3.94296,6.15695
0.32,0.721623,-14.4653,10.1207,3.30543,-9.22509,-8.94911,5.54007,3.93386,-1.9957,7.7048,-3.58912,6.22443
0.33,0.641312,-14.7565,9.05998,3.04565,-9.45586,-7.91322,4.88484,3.35551,-1.88862,7.79388,-3.21923,6.28473
0.34,0.549749,-14.9473,8.09441,2.78855,-9.56688,-6.98488,4.31174,2.83623,-1.75609,7.90086,-2.83676,6.33574
0.35,0.453939,-15.063,7.22998,2.55114,-9.58633,-6.16301,3.83379,2.37823,-1.57852,8.026,-2.45075,6.38152
0.36,0.361599,-15.1296,6.47238,2.35193,-9.55245,-5.43989,3.46046,1.98273,-1.34447,8.16042,-2.06843,6.42673
0.37,0.278673,-15.1667,5.81868,2.20277,-9.49491,-4.80333,3.19253,1.64886,-1.05349,8.29526,-1.69209,6.47063
0.38,0.208276,-15.1905,5.25033,2.10486,-9.43317,-4.23539,3.02009,1.3725,-0.716142,8.42296,-1.31706,6.50621
0.39,0.151064,-15.2215,4.73233,2.05088,-9.38391,-3.70821,2.92561,1.14505,-0.338738,8.53207,-0.929976,6.52138
0.4,0.105477,-15.2819,4.21889,2.02795,-9.36497,-3.18449,2.8904,0.955635,0.0826145,8.60662,-0.510891,6.50029
0.41,0.0679455,-15.3867,3.66586,2.01944,-9.39746,-2.62455,2.90311,0.797891,0.558336,8.63065,-0.0434828,6.42857
